x,y,z,r,g,b,timestamp
0.1933918028875545,0.2107355939030081,0.06191401208152203,101,126,133,1753999595.3821893
0.1963151215380109,0.21051985911007598,0.061951195423388616,129,154,159,1753999595.3821893
-0.17235196929244645,0.21997706119339988,0.06518500117530529,126,158,165,1753999595.3821893
-0.16917764766106086,0.21954710445742642,0.06535423192192358,108,138,141,1753999595.3821893
-0.15108914052817954,0.2204070286483718,0.06416241669021111,124,153,161,1753999595.3821893
-0.14808695518659046,0.22062198095442676,0.06391755408992672,122,146,148,1753999595.3821893
0.17164769841417027,0.21653756367720278,0.055412814445082836,97,125,131,1753999595.3821893
0.17210228894184254,0.20772388292358868,0.06113830306972057,118,146,152,1753999595.3821893
0.17509294699654646,0.20772388292358868,0.06103386698916358,101,124,131,1753999595.3821893
0.17834414417845942,0.20858374427167203,0.06036020422520283,110,135,140,1753999595.3821893
0.1843857802498652,0.21847229080328823,0.0537076773897322,86,111,116,1753999595.3821893
0.18709449957400778,0.21739742502528614,0.05431327180579637,59,82,89,1753999595.3821893
0.18821865912364644,0.21137833274584072,0.05819493667256076,51,74,79,1753999595.3821893
0.19018522671628987,0.20815378753569846,0.0602267850119671,111,136,143,1753999595.3821893
0.1924720053336317,0.20600409738455994,0.06154725599926497,99,126,137,1753999595.3821893
0.1958124210298155,0.20707897388156027,0.06073043149105739,129,153,155,1753999595.3821893
0.20345858422512694,0.2208369332604816,0.05150128936427889,119,145,145,1753999595.3821893
-0.17529027887399565,0.21714101739119995,0.06359046967566578,115,149,148,1753999595.3821893
-0.17224055881490496,0.21714101739119995,0.0634839711044679,138,166,170,1753999595.3821893
-0.1691908387558144,0.21714101739119995,0.06337747253327003,61,94,98,1753999595.3821893
-0.15410788681669074,0.21778356825359846,0.062428381111055864,122,151,152,1753999595.3821893
-0.15105487560707834,0.21778356825359846,0.0623217676103493,117,146,147,1753999595.3821893
-0.14800187928954966,0.21778356825359846,0.06221515462968569,101,129,133,1753999595.3821893
0.17138871939249234,0.21371408254103152,0.05373685768089864,98,121,128,1753999595.3821893
0.17196693600227175,0.20536095201571836,0.059207593398106106,118,146,152,1753999595.3821893
0.17489249689312752,0.20514679291553894,0.059246220995516574,109,137,143,1753999595.3821893
0.1779460629753596,0.20536095201571836,0.058998797683317006,125,147,148,1753999595.3821893
0.18166388278445555,0.20771699636513286,0.05732022645249413,87,115,119,1753999595.3821893
0.18486737479283705,0.20835954722753136,0.05678597491220799,77,102,109,1753999595.3821893
0.18718831295207322,0.2062177248211582,0.058112855446011635,56,72,82,1753999595.3821893
0.18775023814081493,0.19872131497742118,0.06302099686049661,65,91,91,1753999595.3821893
0.19014126576490004,0.1970078843332672,0.06406383711687574,118,147,148,1753999595.3821893
0.19294481236018332,0.196579492571048,0.06424752781184123,127,153,155,1753999595.3821893
